Subject,Baseline_Power_alpha_C3,Baseline_Power_alpha_C4,Baseline_Power_beta_C3,Baseline_Power_beta_C4,Baseline_Power_delta_C3,Baseline_Power_delta_C4,Baseline_Power_gamma_C3,Baseline_Power_gamma_C4,Baseline_Power_theta_C3,Baseline_Power_theta_C4,Percent_Change_alpha_C3,Percent_Change_alpha_C4,Percent_Change_beta_C3,Percent_Change_beta_C4,Percent_Change_delta_C3,Percent_Change_delta_C4,Percent_Change_gamma_C3,Percent_Change_gamma_C4,Percent_Change_theta_C3,Percent_Change_theta_C4,Sound_Power_alpha_C3,Sound_Power_alpha_C4,Sound_Power_beta_C3,Sound_Power_beta_C4,Sound_Power_delta_C3,Sound_Power_delta_C4,Sound_Power_gamma_C3,Sound_Power_gamma_C4,Sound_Power_theta_C3,Sound_Power_theta_C4
14,1.6508772555356303e-09,1.6311687752189997e-09,1.204722267272762e-10,1.6063026583562562e-10,5.368088920302335e-08,2.3565470804119532e-08,1.2090485697219317e-12,1.5267340505783849e-12,2.0678317867230617e-08,2.2144858517157123e-08,-15.069498505603484,6.27585385221458,-7.656926500392672,-22.31466894482893,887.4325237255281,72.61556398666394,-32.23688481455863,-1.4743671537556937,-84.1989988823524,-89.16201791814763,1.4020983321833407e-09,1.7335385436347026e-09,1.1124775687338224e-10,1.2478615378920711e-10,5.30062559015718e-07,4.067767033464356e-08,8.19288974948604e-13,1.5042243852114533e-12,3.2673812373118323e-09,2.400055798141048e-09
15,5.132140997357637e-10,5.868788364311267e-10,8.817916480891267e-11,6.010571350226088e-11,1.1706059843223689e-07,2.2070881205695173e-08,9.387772866249594e-13,8.196031298663496e-13,7.804234142647324e-10,1.0104242225240909e-09,-29.769792624961255,-28.486694852771176,27.29983438083997,29.88486821208455,-95.74606501266649,-60.66661678830913,-7.7889242591279215,-27.405244458436112,41.855378659808174,45.97440169088768,3.60431326522365e-10,4.1969645314149756e-10,1.1225193076015376e-10,7.806822677034465e-11,4.9796817530909134e-09,8.68122428283314e-09,8.656566348078451e-13,5.949888885374829e-13,1.1070725894550395e-09,1.4749607133693452e-09
16,1.570333331416492e-10,1.5716346149622718e-10,1.7900318201745487e-11,1.8346013821317484e-11,1.95223107905424e-06,4.1280407615696797e-07,2.7410588808992314e-13,2.748029237171793e-13,6.558192435365732e-10,7.537400360256419e-10,-8.669990051786124,-1.4066671025111739,5.188105894368725,19.207037119216782,-78.15326713859304,0.41121814086288083,-16.42523660723138,2.576893790600228,4.136663436238852,14.844650800990323,1.4341855878028006e-10,1.5495269478619194e-10,1.8829005665481002e-11,2.1869739505874575e-11,4.2649870867834235e-07,4.1450160140434684e-07,2.290833474168004e-13,2.818843031948352e-13,6.829482783917689e-10,8.656301123209071e-10
17,2.842918631371078e-09,5.699954064641389e-10,8.308423594186294e-10,9.212877642710048e-11,9.198028104083558e-05,2.1789353695082772e-06,5.673300131715407e-12,8.999846934066444e-13,1.5831143769788235e-08,1.2599055174390128e-09,-6.52768235838047,-6.605658194614526,-9.873152433646109,-8.36704235513617,-93.27775336912171,-92.58658573247045,15.546923037820276,-7.135451260786399,378.9342462636057,263.01556683572363,2.6573419334079568e-09,5.323434581881142e-10,7.488120267899262e-10,8.442032268217627e-11,6.183141343339945e-06,1.6153350556337435e-07,6.555323736897758e-12,8.357667242540754e-13,7.582076908874306e-08,4.573653155725789e-09
18,3.904516300877549e-09,2.101096442567316e-09,2.8072391334260236e-10,2.9081961048906775e-10,1.7070273135797965e-07,2.4498417361038552e-08,1.930804026864916e-12,1.4983889413696844e-12,1.5899781427848915e-08,3.611555599020945e-09,-48.98731900443713,-48.25492318131145,-45.57213749367496,-70.74800347929944,2303.80822978181,1897.6735330970037,23.22222568827969,196.9515164165633,-45.99197511920374,115.73245458948055,1.9917984449864157e-09,1.08721396824119e-09,1.5279202557648667e-10,8.507054234177697e-11,4.103366304845449e-06,4.893983996491086e-07,2.379179695581879e-12,4.4494886832153675e-12,8.587157909544865e-09,7.791297542631703e-09
19,1.9425140095977243e-09,3.489794119549356e-09,1.3132232784077742e-10,2.500203679402676e-10,5.282341768492288e-06,9.690530231187858e-06,2.046544676562934e-12,2.3120063498503085e-12,1.4998010776845166e-08,2.244307620176048e-08,-53.746711939909545,-75.03885184443907,418.9945947149184,596.5659402847143,-33.663523270591995,-86.33787036118413,144.8866505359343,2147.6139008378304,-85.341952905313,-91.67497192605538,8.984766004668487e-10,8.710926805047681e-10,6.815557831474392e-10,1.7415567268464277e-09,3.504119418023686e-06,1.3239328028735276e-06,5.0117147101564396e-12,5.196497610748885e-11,2.198415482936198e-09,1.8683923944533436e-09
20,9.352600295011148e-10,8.495560232039437e-10,1.399811901974282e-10,9.94255647756419e-11,9.489283955190488e-08,2.555562933697289e-08,7.903866970390491e-13,1.0826453219329716e-12,3.1918493943013974e-09,3.2546992981388607e-09,-1.174340915412265,12.308243648883588,-17.231020139784846,-5.491140215550129,281.8881204424511,203.04087855347973,13.522078837068099,-20.014306027321734,303.0958887476898,8.242891976897237,9.242768883091864e-10,9.54121448473651e-10,1.1586100312259882e-10,9.396596760370878e-11,3.623844813992404e-07,7.744400366263345e-08,8.972634093303679e-13,8.65961374010824e-13,1.286621368344697e-08,3.5229806454572796e-09
21,9.526710609474421e-09,1.738478387360448e-08,1.773532632245795e-10,2.523214942993358e-10,3.39359078757451e-08,6.501963891020006e-09,5.132228993379373e-13,6.685911092270378e-13,1.969491136602471e-07,7.19465011959989e-07,-87.07938384769814,-93.48555445466238,-70.83753688035674,-73.42920495160593,-63.069118083649265,-7.593939677659012,-19.719065222067666,-41.097959267969806,-99.04659216933369,-99.75936459336653,1.2309097097908058e-09,1.1325222786205987e-09,5.1720579979351836e-11,6.704382711332186e-11,1.2532830064832993e-08,6.008208675272776e-09,4.1202014108290276e-13,3.938138074876423e-13,1.877728272064683e-09,1.7312875571155102e-09
22,3.129346319483903e-10,3.7107619128126375e-10,1.4359888236537918e-10,1.2659403470833434e-10,1.3883721078421302e-08,1.4343380886243907e-08,3.3402640479229475e-12,1.848187317598264e-12,2.40115174964579e-09,2.846197785043321e-09,124.6646243098571,163.78850741341523,-64.71916038254686,-53.662592394965394,185.57846728733278,245.31256124031208,-92.32347825205939,-76.94486219191103,-1.6423842944746685,-6.401299745004156,7.030534152022851e-10,9.788563463473953e-10,5.066289137978463e-11,5.866039386645987e-11,3.9648917858203906e-08,4.952949590674221e-08,2.5641609607744633e-13,4.2610213302390285e-13,2.3617156104231038e-09,2.664004133487029e-09
23,1.558653807410886e-07,9.971213108394727e-10,5.4924428520903435e-09,5.405836337754526e-11,1.1181330763748274e-06,1.5588954694401544e-08,7.828961119260832e-11,5.83817411804615e-13,3.9812957825702086e-07,2.2017915231404035e-09,-56.14867584548722,-41.47996432133275,4800.202740935029,131.35798054853248,1550.1960579564595,161.6996565658054,10285.545356717657,2750.0760556587275,222.47451926090758,93.16956552480991,6.834903335344031e-08,5.83515746862854e-10,2.6914083518242114e-07,1.2506833782787617e-10,1.845138794904469e-05,4.079624089744784e-08,8.130803080006239e-09,1.663924026260984e-11,1.2838664435198068e-06,4.253191119012412e-09
24,2.5382626319513218e-09,2.75261102820383e-09,9.57865981995595e-11,8.372183258336674e-11,9.561875569743338e-07,1.101003146704395e-06,1.920491582101973e-12,2.090272978308801e-12,2.374516370227736e-09,2.3296102133512032e-09,-16.40691919036924,-2.697018235371098,11.122521071347741,24.441173190582212,-89.54967288958602,-90.38626071283356,-32.83690729561688,-39.248362651398224,-2.139924535639285,5.459839885962381,2.121811933087729e-09,2.678372606824337e-09,1.064404827678327e-10,1.041844306833967e-10,9.992472749289401e-08,1.0584757206765913e-07,1.289861541667022e-12,1.2698750593779803e-12,2.3237035118184613e-09,2.4568032009672056e-09
25,6.21877959136344e-10,5.985421968057428e-10,1.586971903044166e-10,1.3214608461124216e-10,1.321237992403526e-06,3.891771066933437e-07,9.93510466626608e-13,7.912029023968665e-13,1.3505632344109897e-07,3.6832664425894024e-08,11.318932159244536,47.243923222603804,-56.470248880878636,-49.70330890728613,145.21326741404735,53.789689504616604,145.9004089507803,263.1055843556932,-69.72503159452754,-68.98631355237045,6.922679034442812e-10,8.81317012719534e-10,6.908049197255094e-11,6.646510796803278e-11,3.239850851488449e-06,5.985142640067438e-07,2.4430463004036347e-12,2.872901922187347e-12,4.0888259251385404e-08,1.1423167055354367e-08
26,5.567478759041983e-10,8.947095845032222e-10,1.6121236879677475e-10,1.2649199202315398e-10,2.812297472375499e-08,3.47682334372147e-08,6.3050250640065784e-12,4.6685147591656435e-11,1.769371343203167e-09,1.6796986256540131e-09,-9.726441749343827,-8.999437890928693,-43.522157390041215,-27.808662675167,-9.47109741001952,-72.06951436452157,-72.56753118504949,-53.43292657655856,55.79970223704769,119.28833058874547,5.025961180636674e-10,8.141907511416686e-10,9.104926791682875e-11,9.131626065033594e-11,2.5459420393072986e-08,9.710936445890862e-09,1.729624034458418e-12,2.1739906956848655e-11,2.7566752841781853e-09,3.6833830751187863e-09
27,1.2948600734181832e-09,2.1113888752083645e-09,1.6928113464296323e-10,1.7267989511450665e-10,4.6236090381814194e-07,8.358182570365742e-06,2.7044850872396e-13,2.6137554940371764e-13,3.829885467798643e-09,4.849610341823849e-09,-53.33449566007822,-66.9706621895663,-54.253429605585936,-78.51128195115469,-83.16473065514113,-93.14174708405486,1.5182072176970163,6.933545456490599,-46.540306253668156,-40.5528031554315,6.042529837568767e-10,6.97377764084487e-10,7.744031342390604e-11,3.710669578819815e-11,7.783970350310807e-08,5.732252998521274e-07,2.745544775035611e-13,2.7949814193377644e-13,2.0474450419204233e-09,2.882957406098575e-09
28,3.6404899656814353e-07,3.219053322022507e-10,1.899559534897875e-08,6.494254642306895e-11,0.00710963736250011,5.120597316253758e-07,5.881164361392189e-10,2.194181609127472e-12,0.0005917853971732654,3.3094117473648416e-08,-83.96796242558673,1.8876683169891413,-14.435592621502355,-17.19124031519214,-32.40036008041115,-29.01914126829077,-33.592395355986824,-37.63799076987169,-8.343994709619805,-5.543010534843748,5.8364471919079274e-08,3.2798183716893125e-10,1.6253468588371128e-08,5.377811720067395e-11,0.004806089256638628,3.634643947269774e-07,3.905540377577927e-10,1.3683357376098518e-12,0.0005424068549408255,3.125970705567052e-08
29,2.2491075288075094e-07,1.9783761886306647e-09,1.9119126443210172e-10,4.615587077384421e-11,2.916868540692597e-06,5.0587728945241966e-08,8.612103667401138e-11,1.5860388035076964e-12,1.4917160449730603e-08,3.786026619073044e-09,-77.3104123562996,-70.88250458094986,37.92575772871704,13.179209656961651,159.0100604000106,319.8070697314329,-93.33979058067568,-43.58403797547455,1057.6989721096606,136.31737540617473,5.1031322394984426e-08,5.760535960961127e-10,2.6370200017909137e-10,5.223884975212543e-11,7.554982969036804e-06,2.123708625287002e-07,5.735841396582258e-12,8.947790490811398e-13,1.7269581319448002e-07,8.94703873837255e-09
